"2014-08-07 19:49:29","User logon Черенкова С.Н. IP: 127.0.0.1"
"2014-08-07 19:49:24","User logout Разработчик Р.Р. IP: 127.0.0.1"
"2014-08-07 19:49:21","Application integrity was restored by developer from IP: 127.0.0.1"
"2014-08-07 19:49:20","Hash  for file ./js/translit.js was added!"
"2014-08-07 19:49:20","Hash  for file ./js/md5.js was added!"
"2014-08-07 19:49:20","Hash  for file ./js/base64_decode.js was added!"
"2014-08-07 19:49:20","Hash  for file ./js/jquery-2.0.2.min.js was added!"
"2014-08-07 19:49:20","Hash  for file ./js/base64_encode.js was added!"
"2014-08-07 19:49:20","Hash  for file ./js/jquery-1.10.1.min.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-carousel.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-scrollspy.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-popover.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-collapse.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-tab.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-transition.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-dropdown.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-button.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-modal.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-alert.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-tooltip.js was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/bootstrap-typeahead.js was added!"
"2014-08-07 19:49:20","Hash  for file ./bootstrap/js/bootstrap.js was added!"
"2014-08-07 19:49:20","Hash  for file ./bootstrap/js/bootstrap-datepicker.js was added!"
"2014-08-07 19:49:20","Hash  for file ./bootstrap/js/bootstrap-datepicker.ru.js was added!"
"2014-08-07 19:49:20","Hash  for file ./bootstrap/js/bootstrap.min.js was added!"
"2014-08-07 19:49:20","Hash  for file ./img/index.php was added!"
"2014-08-07 19:49:20","Hash  for file ./js/index.php was added!"
"2014-08-07 19:49:20","Hash  for file ./Bootstrap_files/index.php was added!"
"2014-08-07 19:49:20","Hash  for file ./app/view/select_language.php was added!"
"2014-08-07 19:49:20","Hash  for file ./app/view/draw_record_add.php was added!"
"2014-08-07 19:49:20","Hash  for file ./app/view/htmlfix.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/danger_message.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/rotated_page_css.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/printed_0402145_complex.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/general_apk_printed_old.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/c.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/page_divider.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/printed_0402145_complex_fordeposit.php was added!"
"2014-08-07 19:49:19","Hash  for file ./app/view/reports/printed_0402145.php was added!"
